iter	Passed	Remaining
446	1126	6435
447	1128	6428
448	1130	6421
449	1132	6415
450	1133	6408
451	1135	6401
452	1137	6393
453	1138	6386
454	1140	6379
455	1142	6372
456	1143	6365
457	1145	6357
458	1147	6351
459	1149	6344
460	1150	6337
461	1152	6330
462	1154	6323
463	1155	6316
464	1157	6309
465	1159	6302
466	1160	6297
467	1162	6290
468	1164	6283
469	1166	6276
470	1167	6269
471	1169	6263
472	1171	6257
473	1172	6250
474	1174	6243
475	1176	6236
476	1177	6230
477	1179	6223
478	1181	6217
479	1183	6211
480	1184	6204
481	1186	6198
482	1188	6195
483	1190	6187
484	1191	6180
485	1193	6173
486	1195	6167
487	1196	6160
488	1198	6154
489	1200	6146
490	1201	6140
491	1203	6132
492	1204	6126
493	1206	6119
494	1208	6113
495	1210	6108
496	1211	6102
497	1213	6096
498	1215	6090
499	1217	6085
500	1218	6079
501	1220	6073
502	1222	6067
503	1224	6061
504	1225	6056
505	1227	6050
506	1229	6044
507	1230	6038
508	1232	6032
509	1234	6027
510	1236	6021
511	1237	6015
512	1239	6009
513	1241	6003
514	1243	5999
515	1245	5993
516	1246	5987
517	1248	5981
518	1250	5977
519	1252	5972
520	1254	5966
521	1255	5960
522	1257	5956
523	1259	5950
524	1261	5946
525	1263	5943
526	1265	5938
527	1267	5934
528	1269	5930
529	1271	5926
530	1273	5920
531	1275	5916
532	1277	5911
533	1279	5906
534	1281	5902
535	1283	5899
536	1285	5895
537	1287	5891
538	1289	5887
539	1291	5883
540	1293	5879
541	1295	5876
542	1297	5872
543	1299	5868
544	1302	5865
545	1304	5861
546	1305	5854
547	1307	5852
548	1310	5848
549	1312	5845
550	1314	5841
551	1316	5839
552	1318	5835
553	1320	5832
554	1323	5828
555	1325	5825
556	1327	5821
557	1329	5817
558	1330	5811
559	1333	5808
560	1335	5804
561	1337	5800
562	1339	5796
563	1340	5790
564	1342	5786
565	1344	5783
566	1346	5779
567	1348	5775
568	1350	5771
569	1353	5768
570	1355	5765
571	1357	5761
572	1359	5758
573	1362	5756
574	1364	5755
575	1366	5751
576	1368	5747
577	1370	5743
578	1372	5739
579	1374	5737
580	1377	5733
581	1379	5729
582	1381	5726
583	1383	5722
584	1385	5719
585	1387	5715
586	1389	5712
587	1391	5708
588	1393	5705
589	1395	5702
590	1397	5698
591	1400	5694
592	1401	5690
593	1403	5686
594	1405	5682
595	1408	5679
596	1410	5675
597	1412	5671
598	1413	5667
599	1416	5664
600	1418	5660
601	1419	5656
602	1422	5652
603	1424	5649
604	1426	5646
605	1428	5642
606	1430	5639
607	1432	5635
608	1434	5632
609	1436	5628
610	1438	5625
611	1440	5621
612	1442	5618
613	1444	5615
614	1447	5611
615	1449	5608
616	1451	5604
617	1453	5600
618	1455	5597
619	1457	5593
620	1459	5589
621	1461	5585
622	1462	5581
623	1464	5577
624	1466	5573
625	1468	5570
626	1470	5566
627	1472	5561
628	1474	5558
629	1476	5554
630	1478	5551
631	1480	5547
632	1482	5544
633	1484	5540
634	1486	5537
635	1488	5533
636	1490	5530
637	1494	5531
638	1496	5527
639	1498	5523
640	1500	5520
641	1502	5516
642	1503	5512
643	1505	5507
644	1507	5502
645	1509	5498
646	1511	5495
647	1513	5492
648	1514	5487
649	1516	5483
650	1519	5481
651	1521	5478
652	1523	5475
653	1525	5472
654	1527	5469
655	1531	5470
656	1533	5469
657	1536	5468
658	1538	5466
659	1541	5465
660	1543	5461
661	1545	5458
662	1547	5455
663	1549	5451
664	1551	5447
665	1553	5444
666	1555	5440
667	1558	5439
668	1559	5435
669	1562	5434
670	1564	5431
671	1566	5427
672	1568	5424
673	1570	5420
674	1572	5416
675	1574	5412
676	1576	5408
677	1578	5405
678	1580	5402
679	1582	5400
680	1585	5397
681	1587	5395
682	1589	5393
683	1591	5389
684	1593	5385
685	1595	5382
686	1598	5380
687	1600	5376
688	1602	5374
689	1604	5371
690	1606	5367
691	1608	5363
692	1610	5360
693	1611	5355
694	1614	5353
695	1617	5353
696	1619	5350
697	1621	5347
698	1623	5342
699	1625	5339
700	1627	5336
701	1628	5332
702	1630	5328
703	1632	5324
704	1634	5320
705	1636	5316
706	1637	5311
707	1639	5308
708	1641	5304
709	1643	5301
710	1645	5297
711	1647	5292
712	1649	5289
713	1651	5288
714	1654	5287
715	1656	5285
716	1659	5283
717	1661	5281
718	1664	5280
719	1666	5277
720	1668	5273
721	1670	5269
722	1671	5265
723	1673	5261
724	1675	5258
725	1677	5254
726	1679	5252
727	1682	5250
728	1684	5248
729	1687	5246
730	1689	5245
731	1692	5243
732	1694	5241
733	1696	5238
734	1698	5234
735	1700	5231
736	1702	5226
737	1703	5222
738	1705	5218
739	1707	5214
740	1709	5210
741	1710	5205
742	1712	5202
743	1714	5200
744	1716	5196
745	1719	5195
746	1721	5193
747	1724	5191
748	1726	5188
749	1729	5187
750	1730	5183
751	1732	5179
752	1734	5175
753	1736	5171
754	1737	5167
755	1739	5163
756	1741	5160
757	1743	5156
758	1745	5152
759	1746	5148
760	1748	5144
761	1750	5141
762	1752	5137
763	1753	5132
764	1755	5130
765	1757	5125
766	1759	5122
767	1761	5118
768	1762	5114
769	1764	5110
770	1766	5106
771	1768	5104
772	1770	5101
773	1772	5098
774	1774	5094
775	1777	5095
776	1779	5092
777	1781	5089
778	1783	5086
779	1786	5083
780	1788	5080
781	1790	5078
782	1792	5075
783	1794	5073
784	1796	5069
785	1798	5066
786	1800	5063
787	1803	5061
788	1805	5058
789	1807	5056
790	1809	5052
791	1811	5049
792	1813	5046
793	1815	5043
794	1817	5040
795	1819	5037
796	1821	5034
797	1823	5032
798	1825	5029
799	1827	5026
800	1829	5023
801	1831	5020
802	1833	5017
803	1835	5014
804	1837	5011
805	1839	5008
806	1841	5004
807	1843	5001
808	1845	4998
809	1847	4995
810	1849	4992
811	1851	4988
812	1853	4985
813	1855	4982
814	1857	4979
815	1859	4976
816	1861	4973
817	1863	4970
818	1865	4967
819	1867	4964
820	1869	4961
821	1871	4958
822	1873	4957
823	1876	4954
824	1878	4951
825	1879	4947
826	1881	4944
827	1883	4940
828	1885	4936
829	1887	4934
830	1889	4931
831	1891	4928
832	1893	4924
833	1894	4921
834	1896	4917
835	1898	4913
836	1899	4909
837	1901	4906
838	1903	4902
839	1905	4899
840	1906	4895
841	1908	4891
842	1910	4887
843	1911	4884
844	1913	4880
845	1915	4876
846	1917	4872
847	1918	4869
848	1920	4865
849	1922	4861
850	1924	4858
851	1925	4855
852	1927	4851
853	1929	4848
854	1930	4844
855	1932	4840
856	1934	4836
857	1935	4832
858	1937	4829
859	1939	4825
860	1941	4822
861	1942	4818
862	1944	4814
863	1946	4811
864	1947	4807
865	1949	4803
866	1951	4800
867	1952	4796
868	1954	4793
869	1956	4789
870	1957	4785
871	1959	4782
872	1961	4778
873	1962	4774
874	1964	4771
875	1966	4767
876	1967	4764
877	1969	4760
878	1971	4756
879	1973	4753
880	1974	4749
881	1976	4746
882	1978	4742
883	1979	4739
884	1981	4735
885	1983	4731
886	1984	4728
887	1986	4724
888	1988	4720
889	1989	4717
890	1991	4713
891	1993	4710
892	1994	4706
893	1996	4703
894	1998	4699
895	1999	4696
896	2001	4692
897	2002	4687
898	2004	4683
899	2005	4680
900	2007	4676
901	2009	4673
902	2010	4669
903	2012	4666
904	2014	4662
905	2016	4660
906	2018	4657
907	2019	4653
908	2021	4649
909	2023	4646
910	2024	4642
911	2026	4639
912	2027	4635
913	2029	4632
914	2031	4628
915	2033	4625
916	2034	4621
917	2036	4618
918	2038	4615
919	2039	4611
920	2041	4608
921	2043	4604
922	2045	4602
923	2046	4598
924	2048	4595
925	2050	4592
926	2052	4589
927	2054	4586
928	2055	4582
929	2057	4580
930	2059	4577
931	2061	4573
932	2063	4571
933	2065	4568
934	2067	4565
935	2069	4563
936	2071	4559
937	2072	4556
938	2074	4553
939	2076	4549
940	2078	4547
941	2079	4543
942	2081	4540
943	2083	4537
944	2085	4534
945	2086	4531
946	2088	4527
947	2090	4524
948	2091	4521
949	2093	4517
950	2095	4514
951	2096	4511
952	2098	4507
953	2100	4504
954	2101	4501
955	2103	4498
956	2105	4495
957	2107	4492
958	2109	4489
959	2111	4486
960	2113	4483
961	2114	4480
962	2116	4477
963	2118	4474
964	2120	4472
965	2122	4469
966	2124	4466
967	2126	4463
968	2128	4460
969	2130	4458
970	2132	4455
971	2134	4453
972	2136	4450
973	2138	4447
974	2140	4445
975	2142	4442
976	2144	4439
977	2145	4436
978	2147	4433
979	2149	4430
980	2151	4428
981	2153	4425
982	2155	4422
983	2157	4420
984	2159	4418
985	2161	4415
986	2163	4412
987	2165	4409
988	2167	4406
989	2168	4403
990	2170	4400
991	2173	4399
992	2175	4396
993	2177	4393
994	2179	4391
995	2181	4388
996	2182	4385
997	2184	4382
998	2186	4379
999	2188	4376
1000	2190	4374
1001	2192	4371
1002	2194	4368
1003	2196	4366
1004	2198	4363
1005	2199	4360
1006	2201	4357
1007	2203	4354
1008	2205	4352
1009	2207	4350
1010	2209	4347
1011	2211	4345
1012	2214	4342
1013	2215	4340
1014	2217	4337
1015	2219	4334
1016	2221	4331
1017	2223	4329
1018	2225	4326
1019	2227	4323
1020	2229	4320
1021	2230	4317
1022	2232	4315
1023	2234	4312
1024	2237	4310
1025	2239	4308
1026	2241	4306
1027	2243	4303
1028	2246	4303
1029	2249	4301
1030	2251	4299
1031	2253	4297
1032	2256	4296
1033	2258	4293
1034	2259	4290
1035	2261	4287
1036	2263	4285
1037	2265	4282
1038	2267	4279
1039	2269	4277
1040	2271	4273
1041	2273	4271
1042	2274	4268
1043	2276	4265
1044	2278	4263
1045	2280	4260
1046	2282	4257
1047	2284	4255
1048	2286	4252
1049	2288	4249
1050	2289	4246
1051	2291	4244
1052	2294	4241
1053	2296	4239
1054	2298	4236
1055	2299	4233
1056	2301	4230
1057	2303	4228
1058	2305	4225
1059	2307	4222
1060	2308	4219
1061	2311	4217
1062	2313	4214
1063	2314	4211
1064	2316	4209
1065	2318	4206
1066	2320	4203
1067	2322	4200
1068	2324	4198
1069	2326	4195
1070	2327	4192
1071	2329	4189
1072	2333	4190
1073	2334	4187
1074	2336	4184
1075	2338	4181
1076	2340	4179
1077	2342	4176
1078	2344	4174
1079	2346	4171
1080	2348	4169
1081	2350	4167
1082	2353	4165
1083	2355	4162
1084	2357	4160
1085	2359	4158
1086	2361	4155
1087	2363	4154
1088	2366	4152
1089	2368	4149
1090	2370	4147
1091	2372	4146
1092	2374	4143
1093	2377	4141
1094	2379	4140
1095	2382	4138
1096	2384	4136
1097	2386	4133
1098	2388	4131
1099	2390	4129
1100	2392	4127
1101	2394	4124
1102	2396	4122
1103	2399	4120
1104	2401	4118
1105	2403	4115
1106	2405	4113
1107	2407	4110
1108	2409	4108
1109	2411	4106
1110	2413	4103
1111	2415	4101
1112	2418	4099
1113	2420	4097
1114	2423	4096
1115	2425	4094
1116	2427	4091
1117	2428	4088
1118	2430	4086
1119	2432	4083
1120	2434	4080
1121	2436	4078
1122	2438	4075
1123	2439	4072
1124	2441	4069
1125	2443	4066
1126	2445	4063
1127	2446	4060
1128	2448	4057
1129	2450	4054
1130	2451	4051
1131	2453	4048
1132	2455	4045
1133	2457	4043
1134	2459	4040
1135	2461	4038
1136	2462	4035
1137	2464	4032
1138	2466	4030
1139	2468	4027
1140	2470	4025
1141	2472	4022
1142	2474	4020
1143	2476	4017
1144	2478	4015
1145	2480	4012
1146	2482	4010
1147	2484	4008
1148	2486	4005
1149	2488	4003
1150	2490	4000
1151	2492	3998
1152	2494	3996
1153	2496	3993
1154	2498	3991
1155	2501	3990
1156	2503	3987
1157	2505	3986
1158	2508	3984
1159	2510	3982
1160	2513	3980
1161	2515	3978
1162	2517	3977
1163	2519	3974
1164	2521	3972
1165	2523	3969
1166	2525	3966
1167	2527	3964
1168	2529	3962
1169	2531	3959
1170	2533	3956
1171	2535	3954
1172	2537	3952
1173	2539	3949
1174	2541	3947
1175	2543	3944
1176	2545	3942
1177	2547	3939
1178	2549	3937
1179	2551	3934
1180	2553	3932
1181	2555	3930
1182	2557	3928
1183	2559	3926
1184	2561	3923
1185	2563	3921
1186	2565	3918
1187	2567	3916
1188	2569	3914
1189	2571	3911
1190	2573	3909
1191	2575	3906
1192	2577	3904
1193	2579	3901
1194	2581	3898
1195	2583	3896
1196	2585	3894
1197	2587	3891
1198	2589	3889
1199	2591	3886
1200	2593	3884
1201	2595	3881
1202	2596	3879
1203	2598	3876
1204	2600	3874
1205	2602	3871
1206	2604	3869
1207	2606	3867
1208	2608	3864
1209	2610	3862
1210	2612	3860
1211	2615	3858
1212	2617	3856
1213	2619	3854
1214	2621	3851
1215	2623	3849
1216	2625	3847
1217	2627	3844
1218	2629	3842
1219	2631	3839
1220	2633	3837
1221	2635	3835
1222	2637	3832
1223	2639	3830
1224	2641	3827
1225	2643	3825
1226	2645	3822
1227	2647	3820
1228	2649	3817
1229	2651	3815
1230	2653	3813
1231	2655	3810
1232	2657	3808
1233	2659	3806
1234	2661	3804
1235	2663	3801
1236	2666	3799
1237	2667	3797
1238	2669	3794
1239	2671	3792
1240	2673	3790
1241	2676	3787
1242	2678	3785
1243	2680	3783
1244	2681	3780
1245	2683	3778
1246	2685	3775
1247	2687	3773
1248	2689	3770
1249	2691	3768
1250	2693	3766
1251	2696	3764
1252	2698	3761
1253	2700	3759
1254	2702	3757
1255	2704	3754
1256	2706	3752
1257	2708	3750
1258	2710	3748
1259	2712	3745
1260	2714	3743
1261	2716	3741
1262	2718	3739
1263	2721	3737
1264	2723	3734
1265	2725	3732
1266	2727	3730
1267	2729	3727
1268	2731	3725
1269	2733	3723
1270	2734	3720
1271	2736	3717
1272	2738	3715
1273	2740	3712
1274	2742	3710
1275	2744	3707
1276	2745	3704
1277	2747	3702
1278	2749	3700
1279	2751	3697
1280	2753	3695
1281	2755	3693
1282	2757	3690
1283	2759	3688
1284	2761	3686
1285	2764	3683
1286	2766	3682
1287	2768	3680
1288	2771	3678
1289	2773	3676
1290	2775	3674
1291	2777	3671
1292	2779	3669
1293	2781	3667
1294	2783	3664
1295	2785	3662
1296	2787	3660
1297	2789	3657
1298	2791	3655
1299	2794	3653
1300	2796	3651
1301	2798	3649
1302	2800	3646
1303	2803	3645
1304	2805	3643
1305	2807	3641
1306	2809	3639
1307	2811	3637
1308	2813	3634
1309	2815	3632
1310	2817	3630
1311	2819	3627
1312	2822	3625
1313	2823	3623
1314	2825	3620
1315	2827	3618
1316	2829	3615
1317	2831	3613
1318	2833	3611
1319	2835	3608
1320	2837	3606
1321	2839	3604
1322	2841	3602
1323	2843	3599
1324	2845	3597
1325	2847	3595
1326	2849	3592
1327	2851	3590
1328	2853	3587
1329	2855	3585
1330	2857	3583
1331	2859	3580
1332	2861	3578
1333	2863	3576
1334	2865	3574
1335	2867	3571
1336	2869	3569
1337	2871	3567
1338	2874	3565
1339	2876	3562
1340	2878	3560
1341	2879	3558
1342	2882	3555
1343	2883	3553
1344	2885	3551
1345	2887	3548
1346	2889	3546
1347	2891	3543
1348	2893	3541
1349	2895	3539
1350	2897	3537
1351	2899	3534
1352	2901	3531
1353	2903	3529
1354	2905	3527
1355	2907	3524
1356	2909	3522
1357	2911	3520
1358	2913	3518
1359	2915	3515
1360	2917	3513
1361	2919	3510
1362	2921	3508
1363	2923	3506
1364	2925	3504
1365	2927	3501
1366	2929	3499
1367	2931	3496
1368	2933	3494
1369	2935	3492
1370	2937	3489
1371	2939	3487
1372	2941	3485
1373	2942	3482
1374	2944	3480
1375	2946	3478
1376	2948	3475
1377	2950	3473
1378	2952	3471
1379	2955	3469
1380	2957	3467
1381	2959	3465
1382	2961	3462
1383	2963	3460
1384	2965	3458
1385	2967	3455
1386	2969	3453
1387	2971	3451
1388	2973	3449
1389	2975	3446
1390	2978	3445
1391	2980	3442
1392	2982	3440
1393	2984	3438
1394	2986	3436
1395	2988	3434
1396	2990	3431
1397	2993	3429
1398	2995	3427
1399	2997	3425
1400	2999	3423
1401	3001	3421
1402	3003	3418
1403	3005	3416
1404	3008	3414
1405	3010	3412
1406	3012	3410
1407	3014	3408
1408	3017	3407
1409	3019	3405
1410	3021	3402
1411	3023	3400
1412	3025	3398
1413	3028	3396
1414	3030	3394
1415	3031	3391
1416	3033	3389
1417	3035	3386
1418	3037	3384
1419	3039	3382
1420	3041	3379
1421	3043	3377
1422	3045	3375
1423	3047	3372
1424	3049	3370
1425	3051	3367
1426	3053	3365
1427	3055	3363
1428	3057	3360
1429	3059	3358
1430	3061	3356
1431	3063	3354
1432	3065	3351
1433	3067	3349
1434	3069	3347
1435	3071	3345
1436	3073	3342
1437	3075	3341
1438	3077	3338
1439	3079	3336
1440	3082	3335
1441	3085	3333
1442	3088	3332
1443	3091	3330
1444	3093	3329
1445	3096	3327
1446	3099	3326
1447	3101	3324
1448	3104	3322
1449	3107	3321
1450	3109	3319
1451	3112	3318
1452	3115	3316
1453	3117	3315
1454	3119	3312
1455	3121	3309
1456	3123	3307
1457	3125	3305
1458	3127	3303
1459	3129	3300
1460	3131	3298
1461	3133	3296
1462	3135	3293
1463	3137	3291
1464	3139	3289
1465	3141	3286
1466	3143	3284
1467	3145	3282
1468	3147	3280
1469	3149	3277
1470	3151	3275
1471	3152	3272
1472	3155	3270
1473	3157	3268
1474	3159	3266
1475	3161	3264
1476	3163	3262
1477	3166	3260
1478	3168	3258
1479	3170	3256
1480	3172	3254
1481	3175	3252
1482	3177	3250
1483	3179	3247
1484	3181	3245
1485	3183	3243
1486	3185	3241
1487	3187	3238
1488	3189	3236
1489	3191	3234
1490	3193	3231
1491	3195	3229
1492	3197	3227
1493	3199	3224
1494	3201	3222
1495	3203	3220
1496	3205	3218
1497	3207	3215
1498	3208	3213
1499	3210	3210
1500	3212	3208
1501	3214	3206
1502	3217	3204
1503	3218	3201
1504	3220	3199
1505	3222	3196
1506	3224	3194
1507	3226	3192
1508	3228	3189
1509	3230	3187
1510	3232	3185
1511	3233	3182
1512	3235	3180
1513	3237	3177
1514	3239	3175
1515	3241	3173
1516	3244	3171
1517	3247	3170
1518	3249	3168
1519	3252	3166
1520	3254	3164
1521	3256	3162
1522	3258	3159
1523	3260	3157
1524	3262	3155
1525	3264	3153
1526	3266	3150
1527	3268	3148
1528	3270	3146
1529	3272	3144
1530	3274	3141
1531	3276	3139
1532	3278	3137
1533	3280	3135
1534	3282	3133
1535	3284	3130
1536	3286	3128
1537	3288	3126
1538	3290	3123
1539	3292	3121
1540	3294	3119
1541	3296	3117
1542	3298	3114
1543	3301	3113
1544	3303	3110
1545	3305	3108
1546	3307	3106
1547	3309	3104
1548	3311	3102
1549	3313	3100
1550	3316	3097
1551	3318	3095
1552	3320	3093
1553	3322	3091
1554	3324	3089
1555	3326	3086
1556	3328	3084
1557	3330	3082
1558	3332	3080
1559	3334	3077
1560	3336	3075
1561	3338	3073
1562	3340	3070
1563	3342	3068
1564	3344	3066
1565	3346	3064
1566	3348	3062
1567	3350	3059
1568	3352	3057
1569	3355	3056
1570	3357	3054
1571	3360	3052
1572	3362	3050
1573	3364	3048
